itl1,itl1name,itl2,itl2name,itl3,itl3name
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0C,Causeway Coast and Glens
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0D,Antrim and Newtownabbey
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0E,Lisburn and Castlereagh
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0F,Mid and East Antrim
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0G,Fermanagh and Omagh
TLC,North East,TLC1,Tees Valley and Durham,TLC11,Hartlepool and Stockton-on-Tees
TLC,North East,TLC1,Tees Valley and Durham,TLC12,South Teesside
TLC,North East,TLC1,Tees Valley and Durham,TLC13,Darlington
TLC,North East,TLC1,Tees Valley and Durham,TLC14,Durham CC
TLC,North East,TLC2,Northumberland and Tyne and Wear,TLC21,Northumberland
TLC,North East,TLC2,Northumberland and Tyne and Wear,TLC22,Tyneside
TLC,North East,TLC2,Northumberland and Tyne and Wear,TLC23,Sunderland
TLD,North West,TLD1,Cumbria,TLD11,West Cumbria
TLD,North West,TLD1,Cumbria,TLD12,East Cumbria
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE31,"Barnsley, Doncaster and Rotherham"
TLH,East of England,TLH1,East Anglia,TLH11,Peterborough
TLH,East of England,TLH1,East Anglia,TLH12,Cambridgeshire CC
TLH,East of England,TLH1,East Anglia,TLH14,Suffolk
TLH,East of England,TLH1,East Anglia,TLH15,Norwich and East Norfolk
TLH,East of England,TLH1,East Anglia,TLH16,North and West Norfolk
TLH,East of England,TLH1,East Anglia,TLH17,Breckland and South Norfolk
TLH,East of England,TLH2,Bedfordshire and Hertfordshire,TLH23,Hertfordshire
TLI,London,TLI3,Inner London - West,TLI31,Camden and City of London
TLI,London,TLI3,Inner London - West,TLI32,Westminster
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ11,Berkshire
TLK,South West,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK11,"Bristol, City of"
TLK,South West,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire"
TLK,South West,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK13,Gloucestershire
TLK,South West,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK14,Swindon
TLK,South West,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK15,Wiltshire
TLK,South West,TLK2,Dorset and Somerset,TLK23,Somerset
TLK,South West,TLK2,Dorset and Somerset,TLK24,"Bournemouth, Christchurch and Poole"
TLK,South West,TLK2,Dorset and Somerset,TLK25,Dorset
TLL,Wales,TLL1,West Wales and The Valleys,TLL11,Isle of Anglesey
TLL,Wales,TLL1,West Wales and The Valleys,TLL12,Gwynedd
TLL,Wales,TLL1,West Wales and The Valleys,TLL13,Conwy and Denbighshire
TLL,Wales,TLL1,West Wales and The Valleys,TLL14,South West Wales
TLL,Wales,TLL1,West Wales and The Valleys,TLL15,Central Valleys
TLL,Wales,TLL1,West Wales and The Valleys,TLL16,Gwent Valleys
TLL,Wales,TLL1,West Wales and The Valleys,TLL17,Bridgend and Neath Port Talbot
TLL,Wales,TLL1,West Wales and The Valleys,TLL18,Swansea
TLL,Wales,TLL2,East Wales,TLL21,Monmouthshire and Newport
TLL,Wales,TLL2,East Wales,TLL22,Cardiff and Vale of Glamorgan
TLL,Wales,TLL2,East Wales,TLL23,Flintshire and Wrexham
TLL,Wales,TLL2,East Wales,TLL24,Powys
TLM,Scotland,TLM6,Highlands and Islands,TLM61,Caithness and Sutherland and Ross and Cromarty
TLM,Scotland,TLM6,Highlands and Islands,TLM62,"Inverness and Nairn and Moray, Badenoch and Strathspey"
TLM,Scotland,TLM6,Highlands and Islands,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute"
TLM,Scotland,TLM6,Highlands and Islands,TLM64,Na h-Eileanan Siar
TLM,Scotland,TLM6,Highlands and Islands,TLM65,Orkney Islands
TLM,Scotland,TLM6,Highlands and Islands,TLM66,Shetland Islands
TLM,Scotland,TLM7,Eastern Scotland,TLM71,Angus and Dundee City
TLM,Scotland,TLM7,Eastern Scotland,TLM72,Clackmannanshire and Fife
TLM,Scotland,TLM7,Eastern Scotland,TLM73,East Lothian and Midlothian
TLM,Scotland,TLM7,Eastern Scotland,TLM75,City of Edinburgh
TLM,Scotland,TLM7,Eastern Scotland,TLM76,Falkirk
TLM,Scotland,TLM7,Eastern Scotland,TLM77,Perth and Kinross and Stirling
TLM,Scotland,TLM7,Eastern Scotland,TLM78,West Lothian
TLM,Scotland,TLM8,West Central Scotland,TLM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond"
TLM,Scotland,TLM8,West Central Scotland,TLM82,Glasgow City
TLM,Scotland,TLM8,West Central Scotland,TLM83,"Inverclyde, East Renfrewshire and Renfrewshire"
TLM,Scotland,TLM8,West Central Scotland,TLM84,North Lanarkshire
